2025-05-20 18:38:00.367 [info] [principal] Nível de log: Info
2025-05-20 18:38:00.367 [info] [principal] Validando o git encontrado em: "git"
2025-05-20 18:38:00.367 [info] [principal] Usando git "2.43.0" de "git"
2025-05-20 18:38:00.367 [info] [Model][doInitialScan] Initial repository scan started
2025-05-20 18:38:00.373 [info] > git rev-parse --show-toplevel [34ms]
2025-05-20 18:38:00.395 [info] > git rev-parse --show-toplevel [4ms]
2025-05-20 18:38:00.399 [info] [Model][doInitialScan] Initial repository scan completed - repositories (0), closed repositories (0), parent repositories (1), unsafe repositories (0)
2025-05-20 18:53:39.095 [info] > git rev-parse --show-toplevel [26ms]
2025-05-20 18:53:59.645 [info] > git rev-parse --show-toplevel [2ms]
2025-05-20 18:54:00.017 [info] > git rev-parse --show-toplevel [2ms]
2025-05-20 18:57:35.987 [info] > git rev-parse --show-toplevel [20ms]
2025-05-20 18:59:10.334 [info] > git rev-parse --show-toplevel [53ms]
2025-05-20 19:00:07.735 [info] > git rev-parse --show-toplevel [24ms]
2025-05-20 19:00:08.607 [info] > git rev-parse --show-toplevel [2ms]
2025-05-20 19:36:52.333 [info] > git rev-parse --show-toplevel [96ms]
2025-05-20 19:36:56.718 [info] > git rev-parse --show-toplevel [1ms]
2025-05-20 19:37:01.425 [info] > git rev-parse --show-toplevel [6ms]
2025-05-20 19:37:04.422 [info] > git rev-parse --show-toplevel [1ms]
2025-05-20 19:41:20.812 [info] > git rev-parse --show-toplevel [3ms]
2025-05-20 19:41:27.987 [info] > git rev-parse --show-toplevel [3ms]
2025-05-20 19:51:55.476 [info] > git rev-parse --show-toplevel [22ms]
2025-05-20 19:52:10.688 [info] > git rev-parse --show-toplevel [2ms]
2025-05-20 19:52:31.554 [info] > git rev-parse --show-toplevel [1ms]
2025-05-20 19:52:56.844 [info] > git rev-parse --show-toplevel [18ms]
2025-05-20 19:52:57.691 [info] > git rev-parse --show-toplevel [1ms]
2025-05-20 19:52:59.816 [info] > git rev-parse --show-toplevel [2ms]
2025-05-20 20:22:42.250 [info] > git rev-parse --show-toplevel [21ms]
2025-05-20 20:31:18.163 [info] > git rev-parse --show-toplevel [28ms]
2025-05-20 20:31:20.609 [info] > git rev-parse --show-toplevel [2ms]
2025-05-20 20:31:21.657 [info] > git rev-parse --show-toplevel [2ms]
2025-05-20 20:49:54.930 [info] > git rev-parse --show-toplevel [27ms]
2025-05-20 21:15:30.926 [info] > git rev-parse --show-toplevel [19ms]
2025-05-20 21:26:35.418 [info] > git rev-parse --show-toplevel [45ms]
2025-05-20 21:26:53.648 [info] > git rev-parse --show-toplevel [2ms]
2025-05-20 21:33:56.847 [info] > git rev-parse --show-toplevel [2ms]
2025-05-20 21:36:53.560 [info] > git rev-parse --show-toplevel [2ms]
2025-05-20 21:37:22.018 [info] > git rev-parse --show-toplevel [2ms]
2025-05-20 21:37:26.543 [info] > git rev-parse --show-toplevel [2ms]
2025-05-20 21:40:13.440 [info] > git rev-parse --show-toplevel [2ms]
2025-05-20 21:40:19.190 [info] > git rev-parse --show-toplevel [1ms]
2025-05-20 21:40:19.650 [info] > git rev-parse --show-toplevel [2ms]
2025-05-20 21:42:05.300 [info] > git rev-parse --show-toplevel [2ms]
2025-05-20 21:42:06.233 [info] > git rev-parse --show-toplevel [3ms]
2025-05-20 21:42:08.097 [info] > git rev-parse --show-toplevel [5ms]
2025-05-20 21:42:13.298 [info] > git rev-parse --show-toplevel [3ms]
2025-05-20 21:53:50.890 [info] > git rev-parse --show-toplevel [23ms]
2025-05-20 22:00:01.752 [info] > git rev-parse --show-toplevel [23ms]
